Species,Family,MaxSizeTL_MB18,Max_Size_MB19,Length_Max_TL_Chagos,MaxSizeTL_OG,MaxSizeTL,MaxSizeTL_Prod,Diet_MB18,Diet_MB19,Diet_Chagos,Diet_OG,Diet,Position_MB18,Position_MB19,Position_OG,Position,a_MB18,b_MB18,a_MB19,b_MB19,a_Chagos,b_Chagos,a_Bayes_Fishbase,b_Bayes_Fishbase,a,b
Hipposcarus harid,Scaridae,NA,NA,75,80,80,75,Herbivore-detritivore,NA,Herbivore,HerDet,HerDet,Bentho-pelagic Reef dwelling,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.01595,3,0.01349,3.03,0.01349,3.03
Kyphosus cinerascens,Kyphosidae,50,NA,55,60,50,50,Herbivore-macroalgae feeder,NA,Herbivore,HerMac,HerMac,Pelagic Reef dwelling,NA,PelgDw,PelgDw,0.01778,3.01,NA,NA,0.0129,3.151,0.01549,3.02,0.01549,3.02
Labrichthys unilineatus,Labridae,NA,17.5,18,20,20,18,NA,InvSes,Corallivore,InvSes,InvSes,NA,BnthDw,BnthDw,BnthDw,NA,NA,0.01,3.05,0.01503,3,0.01096,3.05,0.01096,3.05
Labroides bicolor,Labridae,NA,NA,15,15,15,15,NA,NA,Invertivore,InvMob,InvMob,NA,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0076,3.105,0.00468,3.12,0.00468,3.12
Labroides dimidiatus,Labridae,NA,14,14,15,15,14,NA,InvMob,Invertivore,InvMob,InvMob,NA,BnthDw,BtPlDw,BtPlDw,NA,NA,0.0116,3.16,0.0076,3.105,0.00603,3.16,0.00603,3.16
Lethrinus erythracanthus,Lethrinidae,70,NA,70,70,70,70,Mobile invertebrate feeder,NA,Invertivore,InvMob,InvMob,Benthic Reef dwelling,NA,BnthDw,BnthDw,0.01445,2.98,NA,NA,0.0239,3.011,0.01202,2.99,0.01202,2.99
Lutjanus bohar,Lutjanidae,90,90,90,100,100,90,Fish-cephalopod feeder,FisCep,Piscivore,FisCep,FisCep,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,BtPlDw,0.0123,3,0.014,3.07,0.017,3.035,0.01259,3,0.01259,3
Lutjanus gibbus,Lutjanidae,50,50,50,50,50,50,Mobile invertebrate feeder,InvMob,Piscivore,InvMob,InvMob,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,BtPlDw,0.01549,2.95,0.017,3.03,0.0153,3.091,0.01514,2.98,0.01514,2.98
Lutjanus kasmira,Lutjanidae,40,NA,40,40,40,40,Mobile invertebrate feeder,NA,Piscivore,InvMob,InvMob,Bentho-pelagic Reef dwelling,NA,BtPlDw,BtPlDw,0.01349,3.04,NA,NA,0.0117,3.136,0.01479,2.98,0.01479,2.98
Lutjanus monostigma,Lutjanidae,60,60,60,60,60,60,Fish-cephalopod feeder,FisCep,Piscivore,FisCep,FisCep,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,BtPlDw,0.01349,2.96,0.014,3.03,0.0184,2.97,0.0138,2.96,0.0138,2.96
Macolor niger,Lutjanidae,NA,75,75,80,80,75,NA,FisCep,Piscivore,FisCep,FisCep,NA,PelgAs,PelgDw,PelgAs,NA,NA,0.014,3.04,0.01453,3,0.01585,2.98,0.01585,2.98
Melichthys indicus,Balistidae,NA,NA,25,25,25,25,NA,NA,Invertivore,InvMob,InvMob,NA,NA,PelgDw,BtPlDw,NA,NA,NA,NA,0.0058,3.554,0.0257,2.94,0.0257,2.94
Monotaxis grandoculis,Lethrinidae,NA,60,60,60,60,60,NA,InvMob,Invertivore,InvMob,InvMob,NA,BtPlDw,BnthDw,BtPlDw,NA,NA,0.024,3,0.0239,3.011,0.02291,2.99,0.02291,2.99
Mulloidichthys flavolineatus,Mullidae,43,43,43,40,40,43,Mobile invertebrate feeder,InvMob,Invertivore,InvMob,InvMob,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,BtPlDw,0.00891,3.08,0.014,3.04,0.011973899,3.101092515,0.01072,3.08,0.01072,3.08
Myripristis vittata,Holocentridae,NA,NA,25,25,25,25,NA,NA,Invertivore,InvMob,InvMob,NA,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0206,3.151,0.01698,3.05,0.01698,3.05
Naso annulatus,Acanthuridae,100,100,100,100,100,100,Planktivore,Omnivr,Planktivore,Plktiv,Plktiv,Pelagic Reef dwelling,PelgDw,PelgDw,PelgDw,0.02455,2.95,0.0167,3.01,0.051032424,2.715369535,0.02239,2.98,0.02239,2.98
Naso brachycentron,Acanthuridae,105.1,105.1,105,100,100,105,Herbivore-macroalgae feeder,HerMac,Herbivore,HerMac,HerMac,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,BtPlDw,0.02188,2.97,0.01995,3,0.0216,2.988,0.01995,3,0.01995,3
Naso hexacanthus,Acanthuridae,79.2,79.2,79,80,80,79,Planktivore,Plktiv,Planktivore,Plktiv,Plktiv,Bentho-pelagic Reef dwelling,PelgDw,BtPlDw,PelgDw,0.02344,2.96,0.0172,3.03,0.0424,2.854,0.02188,2.99,0.02188,2.99
Naso lituratus,Acanthuridae,60,60,59,60,60,60,Herbivore-macroalgae feeder,HerMac,Herbivore,HerMac,HerMac,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,BtPlDw,0.0257,2.95,0.0226,3.01,0.0136,3.128,0.02512,2.97,0.02512,2.97
Naso unicornis,Acanthuridae,73.6,73.6,78,80,70,74,Herbivore-macroalgae feeder,HerMac,Herbivore,HerMac,HerMac,Bentho-pelagic Reef dwelling,BtPlDw,BtPlDw,BtPlDw,0.02188,2.94,0.0229,3,0.0216,2.988,0.02344,2.95,0.02344,2.95
Naso vlamingii,Acanthuridae,60,NA,60,60,60,60,Planktivore,NA,Planktivore,Plktiv,Plktiv,Bentho-pelagic Reef dwelling,NA,BtPlDw,BtPlDw,0.02818,2.98,NA,NA,0.0525,2.843,0.0263,3.01,0.0263,3.01
Ostracion meleagris,Ostraciidae,NA,35,25,25,25,25,NA,InvSes,Omnivore,Omnivr,InvSes,NA,BtPlDw,BnthDw,BtPlDw,NA,NA,0.0357,2.91,0.1012,2.588,0.03548,2.81,0.03548,2.81
Oxycheilinus digramma,Labridae,NA,48.1,48,50,50,48,NA,FisCep,Piscivore,FisCep,FisCep,NA,BtPlDw,BtPlDw,BtPlDw,NA,NA,0.0162,3.04,0.02,2.83,0.01905,2.95,0.01905,2.95
Oxymonacanthus longirostris,Monacanthidae,NA,NA,12,15,10,12,NA,NA,Corallivore,InvSes,InvSes,NA,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.01319,3,0.0182,2.9,0.0182,2.9
Paracirrhites arcatus,Cirrhitidae,14,NA,20,20,15,14,Mobile invertebrate feeder,NA,Invertivore,InvMob,InvMob,Benthic Reef dwelling,NA,BnthDw,BnthDw,0.00912,3.07,NA,NA,0.0172,2.977,0.01122,3.07,0.01122,3.07
Paracirrhites forsteri,Cirrhitidae,NA,22,22,20,20,22,NA,FisCep,Piscivore,FisCep,FisCep,NA,BnthDw,BnthDw,BnthDw,NA,NA,0.00933,3.08,0.0172,2.977,0.01122,3.07,0.01122,3.07
Parapercis millepunctata,Pinguipedidae,NA,NA,18,20,20,18,NA,NA,Invertivore,InvMob,InvMob,NA,NA,BnthAs,BnthAs,NA,NA,NA,NA,0.0143,2.95,0.00646,3.09,0.00646,3.09
Parupeneus barberinus,Mullidae,60,60,60,60,60,60,Mobile invertebrate feeder,InvMob,Invertivore,InvMob,InvMob,Benthic Reef dwelling,BnthDw,BnthDw,BnthDw,0.0138,3.02,0.014,3.02,0.0151,3.078,0.01122,3.07,0.01122,3.07
Parupeneus bifasciatus,Mullidae,NA,NA,35,35,35,35,NA,NA,Invertivore,InvMob,InvMob,NA,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.0075,3.205,0.00794,3.18,0.00794,3.18
Parupeneus cyclostomus,Mullidae,NA,50,50,50,50,50,NA,FisCep,Piscivore,FisCep,FisCep,NA,BnthDw,BnthDw,BnthDw,NA,NA,0.0125,3.06,0.0052,3.381,0.01072,3.08,0.01072,3.08
Parupeneus macronemus,Mullidae,40,NA,40,40,40,40,Mobile invertebrate feeder,NA,Invertivore,InvMob,InvMob,Benthic Reef dwelling,NA,BnthDw,BnthDw,0.00967,3.12,NA,NA,0.0052,3.381,0.00933,3.14,0.00933,3.14
Parupeneus trifasciatus,Mullidae,NA,NA,35,35,35,35,NA,NA,Invertivore,InvMob,InvMob,NA,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.00323,3.48,0.00794,3.18,0.00794,3.18
Platax orbicularis,Ephippidae,NA,50,60,60,50,50,NA,Omnivr,Invertivore,InvMob,Omnivr,NA,BtPlAs,BtPlAs,BtPlAs,NA,NA,0.0264,3.02,0.0425,2.975,0.02951,2.97,0.02951,2.97
Plectorhinchus orientalis,Haemulidae,NA,NA,81,80,80,81,NA,NA,Invertivore,InvMob,InvMob,NA,NA,BtPlDw,BtPlDw,NA,NA,NA,NA,0.0144,3.03,0.01349,3.01,0.01349,3.01
Plectroglyphidodon dickii,Pomacentridae,11,11,11,10,10,11,Omnivore,Omnivr,Omnivore,Omnivr,Omnivr,Benthic Reef dwelling,BnthDw,BnthDw,BnthDw,0.02344,2.99,0.0222,3.01,0.0612,2.635,0.02239,2.99,0.02239,2.99
Plectroglyphidodon johnstonianus,Pomacentridae,NA,NA,14,15,15,14,NA,NA,Omnivore,Omnivr,Omnivr,NA,NA,BnthDw,BnthDw,NA,NA,NA,NA,0.0612,2.635,0.02291,2.96,0.02291,2.96
